# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Thu, 15 Oct 2020 23:00:03 +0200
#
# IP	number of (black)lists
#
54.38.81.231	7
162.247.72.199	7
51.75.144.43	7
51.75.64.187	7
18.27.197.252	7
185.191.126.212	7
54.39.16.73	7
51.195.148.18	7
139.59.159.0	6
185.220.101.134	6
85.239.35.130	6
185.220.102.241	6
162.247.74.74	6
139.162.247.102	6
217.182.192.217	6
104.244.77.95	6
192.42.116.13	6
160.119.253.232	6
185.220.101.211	6
51.83.139.55	6
51.83.139.56	6
185.214.167.254	6
185.220.101.15	6
130.225.244.90	6
192.42.116.22	6
51.158.111.157	6
89.234.157.254	6
51.15.43.205	6
167.172.133.221	6
104.244.75.157	6
198.251.89.198	6
195.206.107.147	6
31.220.40.239	6
31.220.40.236	6
5.8.10.202	6
77.247.181.165	6
171.25.193.25	6
176.10.99.200	6
185.220.102.250	6
94.102.56.238	6
185.220.101.198	6
37.49.225.207	6
112.215.113.10	6
185.220.101.146	6
185.220.102.254	6
185.220.101.207	6
185.220.101.200	6
129.204.203.218	5
128.31.0.13	5
139.59.95.60	5
45.95.168.131	5
110.17.174.253	5
117.28.25.50	5
49.51.90.60	5
192.160.102.170	5
185.220.100.253	5
122.51.191.69	5
64.227.126.134	5
106.12.22.202	5
62.210.105.116	5
106.13.181.242	5
45.148.10.65	5
165.22.215.192	5
128.199.22.36	5
31.220.3.108	5
31.220.3.104	5
167.172.156.227	5
195.154.179.3	5
185.220.102.244	5
185.220.102.245	5
185.220.102.240	5
185.220.102.248	5
87.251.77.206	5
45.55.88.16	5
162.142.125.26	5
198.251.83.73	5
51.195.150.132	5
115.238.62.154	5
164.52.24.168	5
182.61.164.235	5
183.224.38.56	5
104.244.75.53	5
132.232.47.59	5
185.107.47.171	5
112.85.42.231	5
112.85.42.233	5
89.31.57.5	5
185.121.69.40	5
112.85.42.151	5
62.210.185.4	5
37.139.7.127	5
51.195.91.156	5
106.12.69.90	5
122.152.196.222	5
61.161.250.202	5
95.211.230.211	5
46.165.245.154	5
80.82.65.90	5
107.189.10.93	5
217.170.205.14	5
61.136.184.75	5
51.195.149.108	5
123.206.69.81	5
91.204.199.73	5
106.13.163.236	5
175.24.95.209	5
159.203.74.227	5
113.133.176.204	5
178.33.212.220	5
94.230.208.147	5
94.102.51.78	5
192.42.116.15	5
166.70.207.2	5
49.234.24.193	5
221.130.203.172	5
51.195.149.144	5
185.130.44.108	5
81.68.142.128	5
138.197.89.212	5
185.220.101.215	5
185.220.101.213	5
51.81.33.130	5
209.141.45.189	5
196.13.111.127	5
198.98.56.27	5
185.220.101.133	5
162.247.74.27	5
185.12.45.117	5
106.13.161.250	5
51.81.83.149	5
185.220.102.4	5
159.65.64.76	5
1.214.245.27	5
162.247.74.217	5
162.247.74.213	5
46.148.20.25	5
23.106.34.44	5
162.243.42.225	5
54.37.204.183	5
121.227.153.232	5
103.65.24.243	5
51.77.135.89	5
142.93.121.47	5
112.85.42.196	5
162.247.74.7	5
172.104.242.173	5
51.195.150.144	5
54.38.52.137	5
175.6.73.4	5
212.83.166.62	5
185.67.82.114	5
35.0.127.52	5
185.14.184.143	5
150.109.151.206	5
159.65.147.235	5
80.82.70.178	5
167.71.38.104	5
49.233.183.15	5
27.128.165.131	5
104.244.76.13	5
178.62.12.192	5
141.98.9.32	5
62.102.148.69	5
62.102.148.68	5
163.172.29.30	5
122.51.239.90	5
106.12.68.244	5
106.13.35.87	5
218.29.196.186	5
193.112.110.35	5
89.248.167.131	5
139.59.70.186	5
157.245.163.0	5
120.70.103.239	5
192.241.237.203	5
125.124.30.186	5
152.136.137.62	5
185.220.101.17	5
185.220.101.16	5
185.220.101.12	5
192.42.116.27	5
152.136.34.209	5
198.251.89.99	5
134.209.148.107	5
106.13.189.143	5
119.96.158.238	5
192.42.116.14	5
139.59.83.179	5
198.144.120.30	5
198.144.149.253	5
140.143.57.159	5
81.68.125.236	5
159.65.136.141	5
167.71.96.148	5
199.195.249.57	5
51.195.149.193	5
85.209.0.101	5
85.209.0.100	5
85.209.0.103	5
162.247.74.206	5
31.220.0.16	5
139.59.67.82	5
178.62.4.213	5
106.12.190.254	5
192.241.246.167	5
185.220.102.246	5
182.61.168.185	5
159.65.224.137	5
107.189.10.174	5
81.68.72.231	5
125.141.56.231	5
67.205.141.165	5
129.144.181.142	5
167.99.93.5	5
199.195.250.42	5
198.98.49.153	5
106.12.28.157	5
49.51.160.139	5
123.58.5.36	5
171.25.193.77	5
185.220.101.9	5
185.220.101.1	5
125.124.97.15	5
128.199.101.113	5
36.46.135.38	5
91.219.236.31	5
189.206.165.62	5
81.68.90.10	5
142.93.34.237	5
80.82.77.139	5
71.6.146.186	5
161.35.11.118	5
104.244.75.153	5
203.189.141.214	5
165.227.45.249	5
130.149.80.199	5
202.154.180.51	5
36.250.229.115	5
122.51.194.44	5
139.59.215.171	5
128.199.143.19	5
107.174.26.66	5
209.95.51.11	5
106.12.186.130	5
138.197.151.213	5
198.96.155.3	5
178.62.60.233	5
61.177.172.61	5
83.97.20.31	5
109.201.133.100	5
125.132.73.28	5
31.220.40.238	5
120.70.100.89	5
106.54.48.241	5
185.220.102.6	5
185.220.102.8	5
199.195.250.247	5
195.80.151.30	5
159.203.242.122	5
77.247.181.162	5
77.247.181.163	5
46.101.40.21	5
89.248.172.16	5
110.43.50.203	5
104.244.74.28	5
159.65.154.48	5
219.144.67.60	5
66.240.219.146	5
51.195.149.99	5
2.57.122.185	5
106.12.13.185	5
14.29.242.40	5
134.122.72.221	5
51.195.150.250	5
85.209.0.252	5
104.244.73.220	5
145.239.92.26	5
191.233.194.99	5
106.12.205.237	5
112.122.5.6	5
185.220.102.253	5
185.220.102.251	5
223.247.130.195	5
64.113.32.29	5
185.100.86.182	5
128.199.84.251	5
183.134.104.146	5
221.6.32.34	5
209.141.33.122	5
212.21.66.6	5
188.131.233.36	5
5.199.130.188	5
89.248.162.247	5
46.165.230.5	5
149.202.238.204	5
152.136.220.127	5
59.124.90.113	5
218.88.215.49	5
87.118.96.154	5
209.222.101.251	5
159.89.53.183	5
199.195.253.117	5
106.12.40.74	5
185.220.101.205	5
109.70.100.43	5
45.148.10.28	5
138.197.175.236	5
185.220.101.148	5
138.68.95.204	5
61.142.21.39	5
123.18.206.15	5
178.128.226.2	5
80.67.172.162	5
51.195.149.89	5
185.100.87.206	5
185.100.87.207	5
164.132.47.139	4
162.243.232.174	4
111.93.58.18	4
61.132.52.19	4
132.232.21.19	4
80.82.77.33	4
167.71.209.2	4
49.233.105.41	4
125.124.117.226	4
106.12.209.57	4
5.182.211.56	4
185.220.100.252	4
218.61.5.68	4
51.81.83.159	4
51.81.83.156	4
217.182.78.180	4
222.186.30.218	4
120.92.109.29	4
101.89.110.204	4
51.79.111.220	4
104.236.72.182	4
185.213.155.169	4
106.13.73.235	4
139.186.69.133	4
71.6.199.23	4
104.45.6.203	4
115.238.97.2	4
51.79.53.139	4
106.54.109.98	4
54.38.92.142	4
61.142.20.25	4
61.183.144.188	4
206.81.12.141	4
185.107.47.215	4
31.220.3.107	4
106.12.33.78	4
106.13.93.252	4
122.51.68.119	4
209.17.96.74	4
185.220.102.247	4
185.220.102.242	4
185.220.102.243	4
185.220.102.249	4
149.56.15.98	4
167.99.69.130	4
121.140.142.231	4
106.12.217.128	4
112.85.42.110	4
112.85.42.112	4
45.154.168.201	4
185.221.134.250	4
162.142.125.29	4
162.142.125.27	4
162.142.125.25	4
162.142.125.22	4
162.142.125.23	4
162.142.125.20	4
162.142.125.21	4
164.68.112.178	4
103.140.250.119	4
51.195.150.135	4
51.195.150.139	4
167.248.133.18	4
167.248.133.19	4
167.248.133.16	4
167.248.133.17	4
111.229.4.66	4
128.199.158.12	4
104.244.76.170	4
196.38.70.24	4
113.108.88.78	4
66.70.191.218	4
206.189.171.239	4
192.3.255.139	4
51.15.126.127	4
122.51.204.47	4
221.143.48.143	4
51.195.150.252	4
211.142.118.34	4
118.24.241.97	4
51.195.91.150	4
51.195.91.151	4
51.195.91.153	4
94.142.241.194	4
51.15.59.15	4
106.13.231.239	4
51.38.64.136	4
23.160.208.246	4
106.12.12.242	4
140.143.189.177	4
112.85.42.81	4
185.220.101.209	4
161.35.237.239	4
141.98.80.73	4
101.69.200.162	4
120.31.131.172	4
45.129.33.24	4
38.81.163.2	4
101.95.162.58	4
69.158.207.141	4
188.166.34.234	4
185.121.69.16	4
116.196.105.232	4
45.129.33.14	4
45.129.33.15	4
112.95.225.158	4
125.91.126.92	4
74.129.23.72	4
192.99.175.86	4
194.26.25.102	4
134.175.83.105	4
200.204.174.163	4
203.195.164.81	4
62.94.206.57	4
192.241.235.172	4
51.81.82.253	4
140.143.228.67	4
106.55.41.76	4
218.94.57.157	4
31.220.2.107	4
45.142.120.183	4
46.146.214.244	4
88.214.26.53	4
193.112.191.228	4
111.231.141.141	4
114.67.110.58	4
138.197.222.141	4
58.250.164.246	4
193.112.5.66	4
45.143.221.3	4
180.71.47.198	4
156.96.156.35	4
74.120.14.17	4
89.34.27.59	4
106.12.88.121	4
209.141.41.103	4
109.190.218.148	4
112.85.42.47	4
138.68.40.92	4
185.107.70.202	4
46.59.65.88	4
162.241.75.116	4
106.52.96.247	4
185.248.160.65	4
139.162.69.98	4
210.75.240.13	4
67.207.88.180	4
94.230.208.148	4
139.59.7.251	4
192.42.116.16	4
193.169.145.194	4
193.70.0.42	4
116.255.131.3	4
109.70.100.53	4
109.70.100.56	4
51.195.149.140	4
51.195.149.141	4
87.118.116.12	4
218.28.99.248	4
129.211.37.91	4
192.241.237.80	4
107.189.11.80	4
199.249.230.73	4
159.203.30.50	4
106.12.82.89	4
68.183.137.173	4
139.59.116.115	4
185.100.86.154	4
45.129.33.149	4
45.129.33.148	4
45.129.33.141	4
45.129.33.143	4
45.129.33.142	4
45.129.33.145	4
45.142.120.54	4
1.222.105.27	4
185.39.11.105	4
2.57.122.19	4
2.57.122.15	4
51.210.241.95	4
103.43.185.166	4
193.111.198.162	4
193.218.118.131	4
193.218.118.130	4
139.199.248.156	4
185.244.39.236	4
185.244.39.238	4
209.17.97.98	4
64.225.106.12	4
185.32.222.168	4
61.132.52.29	4
192.241.237.74	4
51.79.86.181	4
51.79.86.180	4
106.54.194.35	4
185.220.101.194	4
179.43.167.227	4
121.28.95.243	4
144.168.164.26	4
51.81.83.88	4
122.51.150.134	4
185.220.101.139	4
93.174.93.149	4
118.174.211.220	4
185.12.45.118	4
45.129.33.101	4
167.88.7.134	4
118.163.135.17	4
118.163.135.18	4
103.243.252.244	4
218.204.130.238	4
218.56.11.236	4
174.138.64.163	4
8.30.196.204	4
67.205.162.223	4
45.55.157.158	4
119.29.10.25	4
162.247.74.216	4
124.156.119.150	4
115.231.0.56	4
117.33.225.111	4
149.56.44.47	4
139.199.74.92	4
193.228.91.108	4
193.228.91.105	4
187.189.243.167	4
174.138.42.143	4
61.142.20.32	4
159.203.85.196	4
91.219.236.83	4
106.52.152.168	4
112.80.35.2	4
145.239.82.87	4
51.195.148.67	4
159.65.100.44	4
176.10.104.240	4
51.38.233.93	4
106.12.52.98	4
71.6.146.130	4
216.245.209.230	4
106.13.223.100	4
182.74.25.246	4
162.142.125.31	4
162.142.125.30	4
139.199.35.168	4
185.153.196.30	4
150.158.110.27	4
54.39.133.91	4
14.17.114.65	4
103.20.188.34	4
104.244.73.43	4
123.30.149.76	4
104.248.205.67	4
129.211.174.145	4
218.255.86.106	4
71.6.232.5	4
115.159.33.215	4
209.17.97.10	4
211.252.86.82	4
125.212.233.50	4
94.16.121.91	4
134.249.106.21	4
206.189.88.253	4
112.164.242.29	4
175.24.72.167	4
185.32.222.170	4
194.61.24.172	4
106.13.149.57	4
122.14.228.229	4
51.79.86.175	4
51.79.86.173	4
132.232.41.170	4
81.165.210.66	4
209.17.96.146	4
106.13.174.171	4
112.85.42.120	4
188.166.78.16	4
104.244.72.99	4
157.245.169.66	4
111.11.181.53	4
51.210.8.43	4
103.219.112.63	4
199.249.230.75	4
184.105.247.252	4
154.72.188.230	4
45.129.33.6	4
51.195.149.69	4
51.68.174.34	4
164.132.225.151	4
88.119.29.163	4
218.94.57.147	4
71.6.158.166	4
142.93.42.177	4
122.51.31.171	4
51.81.35.193	4
179.43.167.228	4
221.8.12.143	4
221.207.32.250	4
67.205.138.198	4
185.129.62.62	4
142.93.246.42	4
51.195.91.164	4
51.195.91.166	4
199.249.230.188	4
